"D.sum"	"S.sum"	"Total"	"NrmD"	"NrmS"
"BRA.298"	28796	26801	55597	0.517941615554796	0.482058384445204
"BRA.299"	31668	28637	60305	0.525130586186883	0.474869413813117
"BRA.29"	31289	27992	59281	0.527808235353655	0.472191764646345
"BRA.2"	1331	28409	29740	0.0447545393409549	0.955245460659045
"BRA.300"	30119	27144	57263	0.525976634126749	0.474023365873252
"BRA.301"	6389	4425	10814	0.590808211577585	0.409191788422415
"BRA.304"	34543	30169	64712	0.533795895660774	0.466204104339226
"BRA.305"	36782	31102	67884	0.541836073301514	0.458163926698486
"BRA.306"	35237	29995	65232	0.540179666421388	0.459820333578612
"BRA.307"	35531	3312	38843	0.914733671446593	0.0852663285534073
"BRA.308"	36380	30782	67162	0.541675352133647	0.458324647866353
"BRA.30"	33482	30373	63855	0.524344217367473	0.475655782632527
"BRA.311"	855	32046	32901	0.0259870520652868	0.974012947934713
"BRA.312"	31410	27943	59353	0.529206611291763	0.470793388708237
"BRA.314"	37454	32078	69532	0.53865845941437	0.46134154058563
"BRA.315"	32617	32337	64954	0.502155371493672	0.497844628506328
"BRA.316"	32320	29209	61529	0.525280761917145	0.474719238082855
